Item type,Review order,Priority,Boundary score,Compiler #,Chapter or lane,Date,Title,Release or status,Pages,Page basis,NAID,Local identifier,Source family,Source locator,Matched gaps,Boundary reasons,Boundary question,Next action,Source note,Catalog URL,PDF URL
Confirmed record,45,High,62,1.006,Afghanistan,1989-03-08,"NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan",Restricted - Possibly,6 pages,Recorded extent; still verify selected item boundaries before final numbering.,470760979,90009-005,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-005 | 41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan, OA/ID 90009-005.",https://catalog.archives.gov/id/470760979,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf
Confirmed record,46,High,62,1.007,Afghanistan,1989-03-14,"NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM)",Restricted - Possibly,1 page,Recorded extent; still verify selected item boundaries before final numbering.,470760888,90000-004,H-Files - National Security Council (NSC) Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90000-004 | 41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM), OA/ID 90000-004.",https://catalog.archives.gov/id/470760888,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf
Confirmed record,47,High,62,1.010,Afghanistan,1989-10-16,"NSC/DC [Deputies Committee] Meeting - October 16, 1989 re: Afghanistan",Restricted - Possibly,18 pages,Recorded extent; still verify selected item boundaries before final numbering.,470426218,CF01625-007,Richard N. Haass' Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-007 | 41-bpr-nsc-haass_meeting-cf01625-007.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - October 16, 1989 re: Afghanistan, OA/ID CF01625-007.",https://catalog.archives.gov/id/470426218,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-007.pdf
Confirmed record,48,High,62,1.011,Afghanistan,1989-10-18,"NSC/DC 065A - October 18, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,8 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761041,90011-020,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90011-020 | 41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 065A - October 18, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), OA/ID 90011-020.",https://catalog.archives.gov/id/470761041,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf
Confirmed record,49,High,62,2.012,Pakistan,1990-03-26,"NSC/DC 112 - March 26, 1990 - NSC/DC Meeting on Kashmir, Keywords: Pakistan",Restricted - Possibly,13 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761101,90013-024,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90013-024 | 41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 112 - March 26, 1990 - NSC/DC Meeting on Kashmir, Keywords: Pakistan, OA/ID 90013-024.",https://catalog.archives.gov/id/470761101,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf
Confirmed record,50,High,62,2.015,Pakistan,1990-06-30,"NSC/DC [Deputies Committee] Meeting - June 30, 1990 Re: Pakistan",Restricted - Possibly,14 pages,Recorded extent; still verify selected item boundaries before final numbering.,470426229,CF01625-018,Richard N. Haass' Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-018 | 41-bpr-nsc-haass_meeting-cf01625-018.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - June 30, 1990 Re: Pakistan, OA/ID CF01625-018.",https://catalog.archives.gov/id/470426229,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-018.pdf
Confirmed record,51,High,62,2.016,Pakistan,1990-07-09,"NSC/DC 154 - July 09, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,10 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761146,90015-012,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90015-012 | 41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 154 - July 09, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters, OA/ID 90015-012.",https://catalog.archives.gov/id/470761146,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf
Confirmed record,52,High,62,2.019,Pakistan,1990-09-05,"NSC/DC 193A - September 05, 1990 - NSC/DC Meeting on Pakistan, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,11 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761189,90016-023,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-023 | 41-bpr-nsc-hfiles-dc_mtgs-193a-90016-023.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 193A - September 05, 1990 - NSC/DC Meeting on Pakistan, Keywords: Pakistan, Nuclear Matters, OA/ID 90016-023.",https://catalog.archives.gov/id/470761189,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-193a-90016-023.pdf
Confirmed record,53,High,62,1.016,Afghanistan,1990-10-04,"DC [Deputies Committee] Meeting - October 4, 1990 re: Afghanistan",Restricted - Possibly,10 pages,Recorded extent; still verify selected item boundaries before final numbering.,470426235,CF01625-024,Richard N. Haass' Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-024 | 41-bpr-nsc-haass_meeting-cf01625-024.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, DC [Deputies Committee] Meeting - October 4, 1990 re: Afghanistan, OA/ID CF01625-024.",https://catalog.archives.gov/id/470426235,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-024.pdf
Confirmed record,54,High,62,2.022,Pakistan,1990-10-05,"NSC/DC 208 - October 05, 1990 - NSC/DC Meeting on Pakistan via SVTS, Keywords: Pakistan",Restricted - Possibly,11 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761207,90017-001,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90017-001 | 41-bpr-nsc-hfiles-dc_mtgs-208-90017-001.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 208 - October 05, 1990 - NSC/DC Meeting on Pakistan via SVTS, Keywords: Pakistan, OA/ID 90017-001.",https://catalog.archives.gov/id/470761207,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-208-90017-001.pdf
Confirmed record,55,High,62,1.018,Afghanistan,1991-03-05,"NSC/DC 260 - March 05, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,9 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761272,90019-003,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90019-003 | 41-bpr-nsc-hfiles-dc_mtgs-260-90019-003.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 260 - March 05, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), OA/ID 90019-003.",https://catalog.archives.gov/id/470761272,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-260-90019-003.pdf
Confirmed record,56,High,62,1.019,Afghanistan,1991-04-12,"NSC/DC 271 - April 12, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,7 pages,Recorded extent; still verify selected item boundaries before final numbering.,470761289,90019-020,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90019-020 | 41-bpr-nsc-hfiles-dc_mtgs-271-90019-020.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 271 - April 12, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), OA/ID 90019-020.",https://catalog.archives.gov/id/470761289,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-271-90019-020.pdf
Confirmed record,57,High,62,1.020,Afghanistan,1991-05-17,"NSC/DC 282 - May 17, 1991 - NSC/DC Meeting on Angola and Afghanistan, Keywords: Angola, Afghanistan (File located @ NLMS)",Restricted - Possibly,1 page,Recorded extent; still verify selected item boundaries before final numbering.,470761301,90020-001,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90020-001 | 41-bpr-nsc-hfiles-dc_mtgs-282-90020-001.pdf,"High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 282 - May 17, 1991 - NSC/DC Meeting on Angola and Afghanistan, Keywords: Angola, Afghanistan (File located @ NLMS), OA/ID 90020-001.",https://catalog.archives.gov/id/470761301,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-282-90020-001.pdf
Confirmed record,58,High,56,2.005,Pakistan,1989-06-06,Memorandum of Conversation,Full,3 pages,Recorded extent; still verify selected item boundaries before final numbering.,428080031,[Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989,Presidential Memcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989 | 1989-06-06--Bhutto.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; folder or staff-file source pool; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-006, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989. Secret.",https://catalog.archives.gov/id/428080031,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf
Potential lead,59,Medium,44,,Pakistan,1989-01-20,Bhutto Departure 6/6/89,Restricted - Possibly; Online object available,,No stable page count recorded.,323150513,,Catalog lead,Records of the White House Office of Speechwriting (George H. W. Bush Administration) | Speech Draft Files | Speech Draft Files | NAID 323150513 | 41-bpr-speech-draft-chron-13490-003_323150513.pdf,High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search,high-priority gap target; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, White House Office of Speechwriting, Speech Draft Files, Bhutto Departure 6/6/89.",https://catalog.archives.gov/id/323150513,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-spe/speechwriting_draft_chron_578973/41-bpr-speech-draft-chron-13490-003_323150513.pdf
Potential lead,60,Medium,44,,Pakistan,1989-01-20,Departure Statement for Prime Minister Bhutto 6/6/89 [OA 6264],Restricted - Possibly; Online object available,,No stable page count recorded.,323152491,,Catalog lead,Records of the White House Office of Speechwriting (George H. W. Bush Administration) | Speech Backup Chronological Files | Speech Backup Chronological Files | NAID 323152491 | 41-bpr-speech-backup-chron-13671-005_323152491.pdf,High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search,high-priority gap target; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, White House Office of Speechwriting, Speech Backup Chronological Files, Departure Statement for Prime Minister Bhutto 6/6/89 [OA 6264].",https://catalog.archives.gov/id/323152491,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-spe/speechwriting_backup_chron_579003/41-bpr-speech-backup-chron-13671-005_323152491.pdf
Potential lead,61,Medium,44,,Regional,1989-01-20,"Milam, William - AMB to Bangladesh",Restricted - Possibly; Online object available,,No stable page count recorded.,286185941,,Catalog lead,Records of the White House Office of Presidential Personnel (George H. W. Bush Administration) | Katja Bullock Appointment Files | Katja Bullock Appointment Files | NAID 286185941 | 41-bpr-pers-bullock-appt-07091-008.pdf,"High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",high-priority gap target; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, White House Office of Presidential Personnel, Katja Bullock Appointment Files, Milam, William - AMB to Bangladesh.",https://catalog.archives.gov/id/286185941,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/foia/2000/Batch0001/41-bpr-pers-bullock-appt-07091-008.pdf
Potential lead,62,Medium,44,,Regional,1992-11-02,WHPO-P37850,Unrestricted; Online object available,,No stable page count recorded.,543965098,,Catalog lead,Records of the White House Photograph Office | George H. W. Bush Presidential Photographs | NAID 543965098 | 41-AV-P37850-11021992.jpg,"High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",high-priority gap target; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Promote Kashmir leads 470426145 and 470426225 into a focused review queue.","Source: George H.W. Bush Library, White House Photograph Office, George H. W. Bush Presidential Photographs, WHPO-P37850.",https://catalog.archives.gov/id/543965098,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whpo/186364/P37850/41-AV-P37850-11021992.jpg
Confirmed record,63,Medium,42,2.001,Pakistan,1989-01-23,Memorandum of Telephone Conversation,Full,1 page,Recorded extent; still verify selected item boundaries before final numbering.,428079777,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989 | 1989-01-23--Bhutto.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-001, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Confidential.",https://catalog.archives.gov/id/428079777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf
Confirmed record,64,Medium,42,2.002,Pakistan,1989-01-25,Memorandum of Telephone Conversation,Full,1 page,Recorded extent; still verify selected item boundaries before final numbering.,428079809,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,Presidential Telcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989 | 1989-01-25--Khan.pdf,"High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",high-priority gap target; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Gates Subject File 470437053 and Pakistan H-Files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-001, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. No classification marking.",https://catalog.archives.gov/id/428079809,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf
Confirmed record,65,Medium,42,4.001,Regional,1989-02-22,"NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia",Restricted - Possibly,95 pages,Recorded extent; still verify selected item boundaries before final numbering.,446394933,90006-011,H-Files - National Security Review (NSR) Files,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Review (NSR) Files | 90006-011 | 41-bpr-nsc-hfiles-nsr-8-90006-011.pdf,"Medium: Audit source notes, titles, and provenance before final numbering",folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Spot-check Scowcroft-derived presidential conversation titles against PDF or catalog title pages.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia, OA/ID 90006-011.",https://catalog.archives.gov/id/446394933,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf
